"","x"
"1","ENSBTAG00000013320"
"2","ENSBTAG00000006599"
"3","ENSBTAG00000016169"
"4","ENSBTAG00000012180"
"5","ENSBTAG00000017363"
"6","ENSBTAG00000005448"
"7","ENSBTAG00000030425"
"8","ENSBTAG00000010667"
"9","ENSBTAG00000015059"
"10","ENSBTAG00000018082"
"11","ENSBTAG00000009047"
"12","ENSBTAG00000046375"
"13","ENSBTAG00000001152"
"14","ENSBTAG00000000604"
"15","ENSBTAG00000008739"
"16","ENSBTAG00000012848"
"17","ENSBTAG00000015591"
"18","ENSBTAG00000015290"
"19","ENSBTAG00000033304"
"20","ENSBTAG00000013303"
"21","ENSBTAG00000036016"
"22","ENSBTAG00000009495"
"23","ENSBTAG00000032613"
"24","ENSBTAG00000020261"
"25","ENSBTAG00000006326"
"26","ENSBTAG00000015618"
"27","ENSBTAG00000039446"
"28","ENSBTAG00000039688"
"29","ENSBTAG00000007390"
"30","ENSBTAG00000015209"
"31","ENSBTAG00000039499"
"32","ENSBTAG00000018240"
